Country,ConfirmationType,2022
Algeria,Suspected cases,1292
Algeria,Presumed and,1292
Algeria,Confirmed,1292
Algeria,Microscopy examined,1292
Algeria,Microscopy positive,1292
Algeria,Imported cases,1292
Angola,Suspected cases,16172933
Angola,Presumed and,9221410
Angola,Confirmed,7858860
Angola,Microscopy examined,7857537
Angola,Microscopy positive,3934900
Angola,RDT examined,6926016
Angola,RDT positive,3923960
Benin,Suspected cases,4059542
Benin,Presumed and,2571043
Benin,Confirmed,2474689
Benin,Microscopy examined,439332
Benin,Microscopy positive,279233
Benin,RDT examined,3220557
Benin,RDT positive,2195456
Botswana,Suspected cases,17295
Botswana,Presumed and,446
Botswana,Confirmed,446
Botswana,Microscopy examined,1003
Botswana,Microscopy positive,-
Botswana,RDT examined,16090
Botswana,RDT positive,446
Botswana,Imported cases,49
Burkina Faso,Suspected cases,17324387
Burkina Faso,Presumed and,11958988
Burkina Faso,Confirmed,11415559
Burkina Faso,Microscopy examined,370093
Burkina Faso,Microscopy positive,195754
Burkina Faso,RDT examined,16410865
Burkina Faso,RDT positive,11219805
Burundi,Suspected cases,14378061
Burundi,Presumed and,8124159
Burundi,Confirmed,8117435
Burundi,Microscopy examined,2013113
Burundi,Microscopy positive,971263
Burundi,RDT examined,12051825
Burundi,RDT positive,7146172
Cabo Verde,Suspected cases,10246
Cabo Verde,Presumed and,27
Cabo Verde,Confirmed,27
Cabo Verde,Microscopy examined,10246
Cabo Verde,Microscopy positive,27
Cabo Verde,RDT examined,6196
Cabo Verde,RDT positive,0
Cabo Verde,Imported cases,26
Cameroon,Suspected cases,5162188
Cameroon,Presumed and,3382676
Cameroon,Confirmed,3327381
Cameroon,Microscopy examined,1361007
Cameroon,Microscopy positive,963595
Cameroon,RDT examined,3544747
Cameroon,RDT positive,2363786
Central African Republic,Suspected cases,3352129
Central African Republic,Presumed and,2460689
Central African Republic,Confirmed,2247250
Central African Republic,Microscopy examined,276494
Central African Republic,Microscopy positive,214285
Central African Republic,RDT examined,2771175
Central African Republic,RDT positive,2032965
Chad,Suspected cases,2755046
Chad,Presumed and,1882503
Chad,Confirmed,1671060
Chad,Microscopy examined,264439
Chad,Microscopy positive,194912
Chad,RDT examined,2073184
Chad,RDT positive,1476148
