Port Name,Measure,Year,Month of Date,Value
Boquillas,Pedestrians,2023,May,984
Boquillas,Pedestrians,2023,January,2176
Brownsville,Trucks,2023,May,28168
Brownsville,Truck Containers Loaded,2023,May,11168
Brownsville,Truck Containers Empty,2023,May,18078
Brownsville,Trains,2023,May,77
Brownsville,Rail Containers Loaded,2023,May,1621
Brownsville,Rail Containers Empty,2023,May,6402
Brownsville,Personal Vehicles,2023,May,384707
Brownsville,Personal Vehicle Passengers,2023,May,695535
Brownsville,Pedestrians,2023,May,219131
Brownsville,Buses,2023,May,125
Brownsville,Bus Passengers,2023,May,889
Brownsville,Trucks,2023,April,28724
Brownsville,Truck Containers Loaded,2023,April,10450
Brownsville,Truck Containers Empty,2023,April,20210
Brownsville,Trains,2023,April,76
Brownsville,Rail Containers Loaded,2023,April,1565
Brownsville,Rail Containers Empty,2023,April,5953
Brownsville,Personal Vehicles,2023,April,403527
Brownsville,Personal Vehicle Passengers,2023,April,750891
Brownsville,Pedestrians,2023,April,210827
Brownsville,Buses,2023,April,136
Brownsville,Bus Passengers,2023,April,1590
Brownsville,Trucks,2023,March,32782
Brownsville,Truck Containers Loaded,2023,March,12781
Brownsville,Truck Containers Empty,2023,March,22117
Brownsville,Trains,2023,March,87
Brownsville,Rail Containers Loaded,2023,March,1714
Brownsville,Rail Containers Empty,2023,March,7033
Brownsville,Personal Vehicles,2023,March,414807
Brownsville,Personal Vehicle Passengers,2023,March,746940
Brownsville,Pedestrians,2023,March,214888
Brownsville,Buses,2023,March,130
Brownsville,Bus Passengers,2023,March,1054
Brownsville,Trucks,2023,February,27467
Brownsville,Truck Containers Loaded,2023,February,10777
Brownsville,Truck Containers Empty,2023,February,18012
Brownsville,Trains,2023,February,70
Brownsville,Rail Containers Loaded,2023,February,1418
Brownsville,Rail Containers Empty,2023,February,6286
Brownsville,Personal Vehicles,2023,February,376041
Brownsville,Personal Vehicle Passengers,2023,February,675656
Brownsville,Pedestrians,2023,February,278440
Brownsville,Buses,2023,February,122
Brownsville,Bus Passengers,2023,February,957
Brownsville,Trucks,2023,January,28463
Brownsville,Truck Containers Loaded,2023,January,11268
Brownsville,Truck Containers Empty,2023,January,19696
Brownsville,Trains,2023,January,65
Brownsville,Rail Containers Loaded,2023,January,1389
Brownsville,Rail Containers Empty,2023,January,5399
Brownsville,Personal Vehicles,2023,January,409340
Brownsville,Personal Vehicle Passengers,2023,January,745700
Brownsville,Pedestrians,2023,January,170300
Brownsville,Buses,2023,January,297
Brownsville,Bus Passengers,2023,January,32895
Del Rio,Trucks,2023,May,6777
Del Rio,Truck Containers Loaded,2023,May,5133
Del Rio,Truck Containers Empty,2023,May,1925
Del Rio,Personal Vehicles,2023,May,148456
Del Rio,Personal Vehicle Passengers,2023,May,261653
Del Rio,Pedestrians,2023,May,17462
Del Rio,Trucks,2023,April,6032
Del Rio,Truck Containers Loaded,2023,April,4549
Del Rio,Truck Containers Empty,2023,April,1653
Del Rio,Personal Vehicles,2023,April,143399
Del Rio,Personal Vehicle Passengers,2023,April,246303
Del Rio,Pedestrians,2023,April,16325
Del Rio,Trucks,2023,March,6923
Del Rio,Truck Containers Loaded,2023,March,5132
Del Rio,Truck Containers Empty,2023,March,1995
Del Rio,Personal Vehicles,2023,March,144700
Del Rio,Personal Vehicle Passengers,2023,March,243123
Del Rio,Pedestrians,2023,March,16110
Del Rio,Trucks,2023,February,5823
Del Rio,Truck Containers Loaded,2023,February,4424
Del Rio,Truck Containers Empty,2023,February,1599
Del Rio,Personal Vehicles,2023,February,127176
Del Rio,Personal Vehicle Passengers,2023,February,211973
Del Rio,Pedestrians,2023,February,16073
Del Rio,Trucks,2023,January,6154
Del Rio,Truck Containers Loaded,2023,January,4567
Del Rio,Truck Containers Empty,2023,January,1815
Del Rio,Personal Vehicles,2023,January,139980
Del Rio,Personal Vehicle Passengers,2023,January,241473
Del Rio,Pedestrians,2023,January,18100
Eagle Pass,Trucks,2023,May,20252
Eagle Pass,Truck Containers Loaded,2023,May,12862
Eagle Pass,Truck Containers Empty,2023,May,7884
Eagle Pass,Trains,2023,May,240
Eagle Pass,Train Passengers,2023,May,4182
Eagle Pass,Rail Containers Loaded,2023,May,13996
Eagle Pass,Rail Containers Empty,2023,May,12178
Eagle Pass,Personal Vehicles,2023,May,261642
