2019 Rank,Airport,2019 Enplaned Passengers,2018 Rank,2018 Enplaned Passengers,Pct. Change 2018-2019,,Airport1
1,New York JFK,"16,878.1",1,"16,561.7",1.9,,"New York, NY: John F. Kennedy International"
2,Los Angeles,"12,451.4",2,"12,699.4",-2.0,,"Los Angeles, CA: Los Angeles International"
3,Miami,"10,514.0",3,"10,168.0",3.4,,"Miami, FL: Miami International"
4,San Francisco,"7,319.2",5,"6,846.9",6.9,,"San Francisco, CA: San Francisco International"
5,Newark,"7,067.1",4,"6,888.1",2.6,,"Newark, NJ: Newark Liberty International"
6,Chicago O'Hare,"6,820.7",6,"6,752.2",1.0,,"Chicago, IL: Chicago O'Hare International"
7,Atlanta,"6,224.8",7,"6,138.8",1.4,,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,Houston Bush,"5,475.5",8,"5,248.7",4.3,,"Houston, TX: George Bush Intercontinental/Houston"
9,Dallas/Fort Worth,"4,623.5",10,"4,138.7",11.7,,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
10,Fort Lauderdale,"4,209.9",9,"4,164.9",1.1,,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
11,Washington Dulles,"4,110.7",11,"3,885.0",5.8,,"Washington, DC: Washington Dulles International"
12,Boston,"3,912.0",12,"3,585.6",9.1,,"Boston, MA: Logan International"
13,Orlando,"3,445.4",13,"3,165.7",8.8,,"Orlando, FL: Orlando International"
14,Seattle,"2,752.2",14,"2,620.0",5.0,,"Seattle, WA: Seattle/Tacoma International"
15,Honolulu,"2,294.6",15,"2,325.0",-1.3,,"Honolulu, HI: Daniel K Inouye International"
16,Philadelphia,"1,975.4",16,"1,914.8",3.2,,"Philadelphia, PA: Philadelphia International"
17,Detroit Metro,"1,866.6",17,"1,861.1",0.3,,"Detroit, MI: Detroit Metro Wayne County"
18,Charlotte,"1,764.3",19,"1,549.8",13.8,,"Charlotte, NC: Charlotte Douglas International"
19,Las Vegas,"1,755.6",18,"1,827.1",-3.9,,"Las Vegas, NV: Harry Reid International"
20,Minneapolis,"1,616.6",20,"1,477.3",9.4,,"Minneapolis, MN: Minneapolis-St Paul International"
21,Denver,"1,554.3",21,"1,461.2",6.4,,"Denver, CO: Denver International"
22,New York LaGuardia,"1,122.2",23,"1,135.8",-1.2,,"New York, NY: LaGuardia"
23,Phoenix,"1,035.7",24,"1,038.8",-0.3,,"Phoenix, AZ: Phoenix Sky Harbor International"
24,Baltimore,549.0,25,604.3,-9.1,,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
25,Tampa,534.3,31,465.9,14.7,,"Tampa, FL: Tampa International"
26,Salt Lake City,522.9,28,485.1,7.8,,"Salt Lake City, UT: Salt Lake City International"
27,San Diego,520.6,27,508.2,2.4,,"San Diego, CA: San Diego International"
28,Houston,427.8,26,523.0,-18.2,,"Houston, TX: William P Hobby"
29,San Juan,426.8,35,387.8,10.1,,"San Juan, PR: Luis Munoz Marin International"
30,San Jose,424.0,29,471.6,-10.1,,"San Jose, CA: Norman Y. Mineta San Jose International"
31,Portland,409.7,32,436.3,-6.1,,"Portland, OR: Portland International"
32,Chicago Midway,393.6,34,393.3,0.1,,"Chicago, IL: Chicago Midway International"
33,Oakland,363.5,30,467.1,-22.2,,"Oakland, CA: Metro Oakland International"
34,Austin,258.2,37,205.1,25.9,,"Austin, TX: Austin - Bergstrom International"
35,San Antonio,223.5,38,202.2,10.5,,"San Antonio, TX: San Antonio International"
36,Palm Springs,221.4,36,222.5,-0.5,,"Palm Springs, CA: Palm Springs International"
37,Raleigh/Durham,187.7,42,178.0,5.5,,"Raleigh/Durham, NC: Raleigh-Durham International"
38,Fort Myers,185.8,41,178.7,3.9,,"Fort Myers, FL: Southwest Florida International"
39,Washington Reagan,179.6,40,182.4,-1.6,,"Washington, DC: Ronald Reagan Washington National"
40,Kahului,169.7,39,184.1,-7.8,,"Kahului, HI: Kahului Airport"
41,Sacramento,168.1,46,132.7,26.7,,"Sacramento, CA: Sacramento International"
42,Nashville,153.3,47,127.5,20.2,,"Nashville, TN: Nashville International"
43,St. Louis,151.6,45,136.1,11.3,,"St. Louis, MO: St Louis Lambert International"
44,Fresno,136.5,50,112.6,21.2,,"Fresno, CA: Fresno Yosemite International"
45,Cincinnati,127.6,44,136.9,-6.9,,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
46,Ontario,124.9,52,104.6,19.4,,"Ontario, CA: Ontario International"
47,Kona,110.1,51,107.3,2.7,,"Kona, HI: Ellison Onizuka Kona International at Keahole"
48,New Orleans,102.1,54,101.4,0.7,,"New Orleans, LA: Louis Armstrong New Orleans International"
49,Santa Ana,99.7,49,118.5,-15.9,,"Santa Ana, CA: John Wayne Airport-Orange County"
50,Pittsburgh,86.8,48,126.7,-31.5,,"Pittsburgh, PA: Pittsburgh International"
