January - December 2023 Contiguous U.S. County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,78.7,3,127,75.7
AL-003,Baldwin County,Alabama,80.1,2.7,129,77.3
AL-005,Barbour County,Alabama,77.6,1.2,109,76.4
AL-007,Bibb County,Alabama,77,2.2,123,74.8
AL-009,Blount County,Alabama,73.9,1.2,106,72.7
AL-011,Bullock County,Alabama,77.4,1.6,115,75.8
AL-013,Butler County,Alabama,79.7,3.1,129,76.6
AL-015,Calhoun County,Alabama,75.1,2,119,73.1
AL-017,Chambers County,Alabama,75.2,1.1,108,74.1
AL-019,Cherokee County,Alabama,74.3,1.7,115,72.6
AL-021,Chilton County,Alabama,77.7,2.9,126,74.8
AL-023,Choctaw County,Alabama,79.2,2.5,128,76.7
AL-025,Clarke County,Alabama,79,2,124,76.9
AL-027,Clay County,Alabama,75.2,2.1,123,73.1
AL-029,Cleburne County,Alabama,74.2,2,121,72.2
AL-031,Coffee County,Alabama,79.3,2.2,122,77.1
AL-033,Colbert County,Alabama,74.3,1.9,115,72.3
AL-035,Conecuh County,Alabama,79.8,2.4,127,77.4
AL-037,Coosa County,Alabama,77,2.5,124,74.5
AL-039,Covington County,Alabama,80.2,2.4,126,77.8
AL-041,Crenshaw County,Alabama,79.5,3,128,76.5
AL-043,Cullman County,Alabama,73.6,1,102,72.6
AL-045,Dale County,Alabama,78.7,1.8,118,76.9
AL-047,Dallas County,Alabama,78.8,3.1,129,75.8
AL-049,DeKalb County,Alabama,71.9,1.5,111,70.4
AL-051,Elmore County,Alabama,77.9,2.1,122,75.8
AL-053,Escambia County,Alabama,79.9,1.9,124,78
AL-055,Etowah County,Alabama,74.1,1.6,112,72.5
AL-057,Fayette County,Alabama,75.7,1.8,116,73.9
AL-059,Franklin County,Alabama,73.7,1.7,115,72
AL-061,Geneva County,Alabama,79.8,2.1,122,77.7
AL-063,Greene County,Alabama,77.6,2.3,125,75.3
AL-065,Hale County,Alabama,77.5,2.4,126,75.1
AL-067,Henry County,Alabama,78.4,1.5,114,76.9
AL-069,Houston County,Alabama,79.5,1.8,118,77.7
AL-071,Jackson County,Alabama,72.1,1.4,111,70.7
AL-073,Jefferson County,Alabama,75.8,2,119,73.8
