FIPS,MAL_FREQ_2017
04013,20
08005,8
08031,6
09001,5
09003,10
09009,7
11001,19
12011,8
12025,9
12057,7
12073,7
12097,5
12099,5
13063,5
13067,8
13089,20
13121,6
13135,20
17031,29
18097,9
19153,7
20091,5
20173,6
23005,11
24003,10
24005,23
24021,6
24027,11
24031,70
24033,101
24510,16
25013,5
25017,34
25023,5
25025,15
25027,21
26065,5
26081,9
26125,7
26161,5
26163,8
27003,5
27053,33
27123,6
29189,5
33011,6
34003,8
34005,8
34013,37
34017,12
34021,11
34023,19
34039,8
36001,11
36005,91
36029,7
36047,50
36055,5
36059,6
36061,42
36067,10
36081,33
36085,11
36103,6
36119,8
37063,8
37081,9
37119,6
37183,10
38017,6
39035,12
39049,19
39061,6
39113,7
41051,7
42003,8
42011,5
42043,5
42045,20
42101,30
44007,10
46099,6
48015,12
48029,5
48085,7
48113,19
48157,17
48201,9
48225,35
48439,19
51013,5
51059,24
51107,8
51153,14
51510,10
53033,21
53061,6
