January - December 2023 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,49.66,-3.84,46,53.5
AL-003,Baldwin County,Alabama,49.36,-12.53,15,61.89
AL-005,Barbour County,Alabama,49.21,-3.09,50,52.3
AL-007,Bibb County,Alabama,46.76,-8.41,27,55.17
AL-009,Blount County,Alabama,53.81,-1.7,56,55.51
AL-011,Bullock County,Alabama,53.19,1.11,76,52.08
AL-013,Butler County,Alabama,50.32,-5.39,35,55.71
AL-015,Calhoun County,Alabama,49.49,-3.83,44,53.32
AL-017,Chambers County,Alabama,54.77,1.48,79,53.29
AL-019,Cherokee County,Alabama,49.75,-3.77,47,53.52
AL-021,Chilton County,Alabama,49.73,-4.43,41,54.16
AL-023,Choctaw County,Alabama,54.22,-2.59,55,56.81
AL-025,Clarke County,Alabama,58.6,0.7,73,57.9
AL-027,Clay County,Alabama,58.28,2.49,78,55.79
AL-029,Cleburne County,Alabama,49.96,-3.93,45,53.89
AL-031,Coffee County,Alabama,52.7,-3.5,50,56.2
AL-033,Colbert County,Alabama,46.36,-7.19,28,53.55
AL-035,Conecuh County,Alabama,43.32,-14.69,6,58.01
AL-037,Coosa County,Alabama,55.4,0.79,72,54.61
AL-039,Covington County,Alabama,47.8,-10.83,12,58.63
AL-041,Crenshaw County,Alabama,55.44,0.07,73,55.37
AL-043,Cullman County,Alabama,55.44,-0.63,67,56.07
AL-045,Dale County,Alabama,49.84,-4.55,45,54.39
AL-047,Dallas County,Alabama,49.24,-3.56,49,52.8
AL-049,DeKalb County,Alabama,50.4,-5.04,41,55.44
AL-051,Elmore County,Alabama,52.42,-1.01,63,53.43
AL-053,Escambia County,Alabama,45.56,-14.87,10,60.43
AL-055,Etowah County,Alabama,48.96,-5.44,36,54.4
AL-057,Fayette County,Alabama,52.38,-3.86,45,56.24
AL-059,Franklin County,Alabama,49.71,-4.99,36,54.7
AL-061,Geneva County,Alabama,46.36,-10.85,17,57.21
AL-063,Greene County,Alabama,51.38,-1.56,58,52.94
AL-065,Hale County,Alabama,49.07,-4.64,37,53.71
AL-067,Henry County,Alabama,48.07,-5.25,38,53.32
AL-069,Houston County,Alabama,45.14,-9.01,21,54.15
AL-071,Jackson County,Alabama,47.86,-6.9,30,54.76
AL-073,Jefferson County,Alabama,47.68,-7.81,31,55.49
AL-075,Lamar County,Alabama,50.68,-4.27,49,54.95
AL-077,Lauderdale County,Alabama,46.05,-7.94,24,53.99
AL-079,Lawrence County,Alabama,47.37,-6.04,33,53.41
AL-081,Lee County,Alabama,54.07,1.79,82,52.28
AL-083,Limestone County,Alabama,48.6,-5.13,38,53.73
AL-085,Lowndes County,Alabama,50.4,-1.96,60,52.36
AL-087,Macon County,Alabama,53.53,1.81,80,51.72
AL-089,Madison County,Alabama,49.01,-5.36,33,54.37
AL-091,Marengo County,Alabama,51,-3.18,52,54.18
AL-093,Marion County,Alabama,52.64,-2.95,52,55.59
AL-095,Marshall County,Alabama,49.63,-4.75,38,54.38
AL-097,Mobile County,Alabama,55.3,-7.18,31,62.48
AL-099,Monroe County,Alabama,47.93,-9.31,22,57.24
AL-101,Montgomery County,Alabama,54.09,1.98,82,52.11
AL-103,Morgan County,Alabama,50.93,-3.03,49,53.96
AL-105,Perry County,Alabama,48.6,-4.96,39,53.56
AL-107,Pickens County,Alabama,53.9,0.52,70,53.38
AL-109,Pike County,Alabama,56.62,2.25,82,54.37
AL-111,Randolph County,Alabama,53.78,-0.86,60,54.64
AL-113,Russell County,Alabama,49.46,-0.38,65,49.84
AL-115,St. Clair County,Alabama,53.74,-1.32,56,55.06
AL-117,Shelby County,Alabama,49.29,-5.54,37,54.83
AL-119,Sumter County,Alabama,49.54,-4.56,44,54.1
AL-121,Talladega County,Alabama,56.69,3.04,78,53.65
AL-123,Tallapoosa County,Alabama,56.94,2.72,83,54.22
AL-125,Tuscaloosa County,Alabama,48.09,-7.3,26,55.39
AL-127,Walker County,Alabama,47.09,-9.41,24,56.5
AL-129,Washington County,Alabama,59.08,-0.6,63,59.68
AL-131,Wilcox County,Alabama,49.66,-4.59,41,54.25
AL-133,Winston County,Alabama,51.94,-4.48,41,56.42
AZ-001,Apache County,Arizona,11.21,-2.24,37,13.45
AZ-003,Cochise County,Arizona,9.41,-5.22,6,14.63
AZ-005,Coconino County,Arizona,13.75,0.16,76,13.59
AZ-007,Gila County,Arizona,18.27,-2.45,55,20.72
AZ-009,Graham County,Arizona,12.49,-2.75,34,15.24
