FIPS,EstNumberOfArrivals,Source
04013,815816.427402976,Flight
06001,211600.52777387574,Flight
06037,1378251.2510330302,Flight
06059,185927.5585299025,Flight
06067,178896.98887881028,Flight
06073,378769.94553728285,Flight
06081,906545.1598079155,Flight
06085,182378.4476769135,Flight
08031,990303.9453487132,Flight
11001,419989.34955563344,Flight
12011,489070.35419446364,Flight
12057,346278.809547909,Flight
12071,155920.80385681018,Flight
12086,784517.8494894201,Flight
12095,702565.5114240805,Flight
13063,1851528.625388885,Flight
15003,356264.38673987,Flight
17031,1773811.5514258947,Flight
18097,147298.83026041382,Flight
22051,203299.2598780185,Flight
23005,397860.13553193706,Flight
24003,446983.82117135066,Flight
25025,608689.4893871449,Flight
26163,607655.6663142147,Flight
27053,660297.9654536726,Flight
29165,196857.0287955015,Flight
29189,241263.25742899487,Flight
32003,821848.0599775551,Flight
34013,697790.7417097602,Flight
36081,1574450.9874887858,Flight
37119,827131.5404157497,Flight
37183,186045.56840904092,Flight
39035,147112.3129128313,Flight
39049,124971.68097772764,Flight
41051,311633.1471486757,Flight
42003,146933.08517644057,Flight
42101,565691.8665407568,Flight
47037,220681.0402293633,Flight
48029,156611.08540638708,Flight
48113,275798.4227116446,Flight
48201,1006320.6344287402,Flight
48439,1179315.6416748806,Flight
48453,221306.94261071202,Flight
51107,388317.2534522933,Flight
53033,752145.3184494858,Flight
55079,123425.3907996452,Flight
72031,158867.33164588513,Flight
04003,4753065,Border
04019,1091600,Border
04023,11587787,Border
04027,8435995,Border
06025,22029386,Border
06073,53244846,Border
35013,1630732,Border
35029,1036463,Border
48043,10965,Border
48061,13117334,Border
48141,30675552,Border
48215,15976442,Border
48323,6614252,Border
48377,1556423,Border
48427,2727797,Border
48465,3495576,Border
48479,16401895,Border
