FIPS,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM,REPORTED_IMPORTS
01001,"Autauga County, Alabama",58761,28663,30098,35332,40188,6726,4014,702,437,57443,2240,1985,4225,6630,2914,3716,27031,76,NA
01003,"Baldwin County, Alabama",233420,114077,119343,38907,167022,33474,15077,3483,2351,230074,11172,10300,21472,23445,9819,13626,105865,1030,NA
01005,"Barbour County, Alabama",24877,12973,11904,23378,17675,1167,640,188,105,21892,1157,1191,2348,5280,2023,3257,8341,54,NA
01007,"Bibb County, Alabama",22251,11897,10354,24966,15925,1047,507,109,76,20850,1035,725,1760,4297,2307,1990,8064,28,NA
01009,"Blount County, Alabama",59077,29864,29213,29053,40817,3840,1751,270,156,58587,3257,2691,5948,8277,3624,4653,24402,124,NA
01011,"Bullock County, Alabama",10328,5542,4786,22115,7156,492,93,53,33,9640,594,582,1176,2687,1277,1410,3679,56,NA
01013,"Butler County, Alabama",18981,8928,10053,26334,13266,1029,542,139,21,18686,905,1148,2053,3937,1458,2479,7394,81,NA
01015,"Calhoun County, Alabama",116162,56185,59977,28227,78931,9098,4121,888,1011,114576,6838,5592,12430,20267,8375,11892,48898,187,NA
01017,"Chambers County, Alabama",34612,16485,18127,27006,24706,2273,737,81,55,34130,2269,1415,3684,6080,2550,3530,14660,155,NA
01019,"Cherokee County, Alabama",25069,12261,12808,28422,18523,1530,832,240,101,24779,1481,1052,2533,3516,1606,1910,10079,169,NA
01021,"Chilton County, Alabama",45140,22048,23092,28497,30609,2504,1551,115,107,44781,2494,2652,5146,6422,3044,3378,18524,154,NA
01023,"Choctaw County, Alabama",12669,5980,6689,26343,9052,873,283,15,10,12543,634,400,1034,2388,1000,1388,4402,28,NA
01025,"Clarke County, Alabama",23058,11032,12026,29310,16015,1346,705,113,41,22750,1278,888,2166,5073,2346,2727,7694,107,NA
01027,"Clay County, Alabama",14209,6931,7278,27991,10053,926,279,78,0,13919,564,560,1124,2440,1144,1296,5176,137,NA
01029,"Cleburne County, Alabama",15144,7565,7579,28598,10630,1172,476,72,33,14989,672,840,1512,1931,848,1083,5593,13,NA
01031,"Coffee County, Alabama",53559,26626,26933,31227,36556,4786,2424,362,327,51466,3216,2374,5590,8592,3471,5121,22669,155,NA
01033,"Colbert County, Alabama",57270,27911,29359,30724,40835,4578,1821,559,410,56784,2228,2286,4514,8998,4159,4839,25195,79,NA
01035,"Conecuh County, Alabama",11576,5639,5937,24426,8382,642,316,40,118,11518,376,612,988,2122,924,1198,3664,34,NA
01037,"Coosa County, Alabama",10329,5306,5023,28998,8049,578,195,61,22,9919,329,283,612,1102,545,557,3851,57,NA
01039,"Covington County, Alabama",37542,18243,19299,28528,26447,2585,1280,313,135,37040,1936,1862,3798,6921,2981,3940,14928,173,NA
01041,"Crenshaw County, Alabama",13205,6451,6754,32396,9148,1092,405,61,15,12929,767,334,1101,1916,910,1006,5128,76,NA
01043,"Cullman County, Alabama",88284,43820,44464,29788,61520,7463,3105,491,197,87442,4954,4312,9266,11364,5161,6203,38671,39,NA
01045,"Dale County, Alabama",49455,24461,24994,28312,33687,4360,1654,279,162,46837,2562,2114,4676,8469,3896,4573,19769,114,NA
01047,"Dallas County, Alabama",38326,17895,20431,22798,25984,2633,1239,92,114,38031,1883,1742,3625,10230,4169,6061,14138,98,NA
01049,"DeKalb County, Alabama",71680,35847,35833,24915,48385,3996,2248,435,167,70836,5600,4726,10326,14251,6380,7871,30290,104,NA
01051,"Elmore County, Alabama",87694,42743,44951,34152,61046,9637,3846,670,596,82845,3331,3463,6794,7986,3272,4714,38872,245,0
01053,"Escambia County, Alabama",36755,18476,18279,21758,25461,2168,832,139,58,34273,2009,2217,4226,7449,3042,4407,12733,38,NA
01055,"Etowah County, Alabama",103348,50134,53214,28479,72715,7840,3418,1140,487,102350,6769,5196,11965,16146,6567,9579,43715,271,NA
01057,"Fayette County, Alabama",16297,7997,8300,27053,11428,943,284,210,49,16096,834,785,1619,3543,1543,2000,6236,17,NA
01059,"Franklin County, Alabama",32011,16071,15940,24874,21351,2204,777,137,48,31750,2337,1621,3958,5246,2200,3046,13403,54,NA
01061,"Geneva County, Alabama",26647,13037,13610,25644,18982,1842,743,21,35,26330,1793,1394,3187,5480,2695,2785,10627,44,NA
01063,"Greene County, Alabama",7706,3707,3999,20862,5449,579,242,75,15,7629,577,483,1060,2504,970,1534,2170,3,NA
01065,"Hale County, Alabama",14742,7020,7722,23690,9980,1079,411,19,125,14513,537,475,1012,3613,1661,1952,5358,29,NA
01067,"Henry County, Alabama",17282,8303,8979,30273,12561,1758,759,71,45,16997,770,864,1634,2608,812,1796,7154,74,NA
01069,"Houston County, Alabama",107040,51565,55475,32126,73993,10616,4321,1154,528,105970,6766,5677,12443,18878,7879,10999,45364,284,NA
01071,"Jackson County, Alabama",52618,25883,26735,27695,37823,3874,1843,228,178,52083,2861,2851,5712,9680,4279,5401,20023,226,NA
01073,"Jefferson County, Alabama",672265,319713,352552,38224,457310,96805,41229,16093,8545,665054,33107,26937,60044,103894,44297,59597,306222,2697,0
01075,"Lamar County, Alabama",13885,6930,6955,24794,9894,606,335,40,32,13727,660,415,1075,2107,981,1126,5222,49,NA
01077,"Lauderdale County, Alabama",94329,45493,48836,32678,64564,10372,4629,808,865,93301,4346,4535,8881,12188,4728,7460,42958,349,NA
